node1	label	node2	id
Q155472	PRX_ID_SPL_SET_ID	"6b6ad6c8-22f8-456b-bc54-a02fb6cbea8c"	Q155472-PRX_ID_SPL_SET_ID-"6b6ad6c8-22f8-456b-bc54-a02fb6cbea8c"-0000
Q155472	PRX_ID_SPL_SET_ID	"6c363351-6596-42bf-83c9-041bf231b778"	Q155472-PRX_ID_SPL_SET_ID-"6c363351-6596-42bf-83c9-041bf231b778"-0000
Q155472	PRX_ID_SPL_SET_ID	"6e2cd953-88bf-4094-8ba8-2c9ba020f4d7"	Q155472-PRX_ID_SPL_SET_ID-"6e2cd953-88bf-4094-8ba8-2c9ba020f4d7"-0000
Q155472	PRX_ID_SPL_SET_ID	"6e3735a3-f004-4658-ba82-a9c51b915c38"	Q155472-PRX_ID_SPL_SET_ID-"6e3735a3-f004-4658-ba82-a9c51b915c38"-0000
Q155472	PRX_ID_SPL_SET_ID	"6e7fb778-6b58-4f34-939c-332fd0f2f9b8"	Q155472-PRX_ID_SPL_SET_ID-"6e7fb778-6b58-4f34-939c-332fd0f2f9b8"-0000
Q155472	PRX_ID_SPL_SET_ID	"6ec2aea6-2578-496e-ab49-02ddd89a1644"	Q155472-PRX_ID_SPL_SET_ID-"6ec2aea6-2578-496e-ab49-02ddd89a1644"-0000
Q155472	PRX_ID_SPL_SET_ID	"6fba5243-ee00-4825-a04a-321cb6b49c56"	Q155472-PRX_ID_SPL_SET_ID-"6fba5243-ee00-4825-a04a-321cb6b49c56"-0000
Q155472	PRX_ID_SPL_SET_ID	"73e01dc6-7dd4-421a-a4f6-137e75f69f9a"	Q155472-PRX_ID_SPL_SET_ID-"73e01dc6-7dd4-421a-a4f6-137e75f69f9a"-0000
Q155472	PRX_ID_SPL_SET_ID	"7494496c-02fc-4509-ae9e-cbd000fa45a1"	Q155472-PRX_ID_SPL_SET_ID-"7494496c-02fc-4509-ae9e-cbd000fa45a1"-0000
Q155472	PRX_ID_SPL_SET_ID	"758b3b9b-1a4f-c150-e053-2991aa0a182d"	Q155472-PRX_ID_SPL_SET_ID-"758b3b9b-1a4f-c150-e053-2991aa0a182d"-0000
Q155472	PRX_ID_SPL_SET_ID	"75b3f944-b4fc-40a5-a4e2-aec2fbab64b8"	Q155472-PRX_ID_SPL_SET_ID-"75b3f944-b4fc-40a5-a4e2-aec2fbab64b8"-0000
Q155472	PRX_ID_SPL_SET_ID	"75fd9a19-d955-4f23-9c8a-6e14327ee311"	Q155472-PRX_ID_SPL_SET_ID-"75fd9a19-d955-4f23-9c8a-6e14327ee311"-0000
Q155472	PRX_ID_SPL_SET_ID	"771afba6-8769-4ea8-afec-358dba0aaefe"	Q155472-PRX_ID_SPL_SET_ID-"771afba6-8769-4ea8-afec-358dba0aaefe"-0000
